LB,gap,legend
LB_first,0.0,min size first element aligned
LB_last,0.16228070175438597,min size last element aligned
LB_levels,0.20175438596491227,inversions-driven LB
LB_lvl_symm,0.20175438596491227,inversion-driven (symmetric)
LB_first,0.04508856682769726,min size first element aligned
LB_last,0.2898550724637681,min size last element aligned
LB_levels,0.061996779388083734,inversions-driven LB
LB_lvl_symm,0.061996779388083734,inversion-driven (symmetric)
LB_first,0.0,min size first element aligned
LB_last,0.0,min size last element aligned
LB_levels,0.09425287356321839,inversions-driven LB
LB_lvl_symm,0.09425287356321839,inversion-driven (symmetric)
LB_first,0.11633663366336634,min size first element aligned
LB_last,0.3292079207920792,min size last element aligned
LB_levels,0.22524752475247525,inversions-driven LB
LB_lvl_symm,0.22524752475247525,inversion-driven (symmetric)
LB_first,0.002077562326869806,min size first element aligned
LB_last,0.43975069252077564,min size last element aligned
LB_levels,0.061634349030470915,inversions-driven LB
LB_lvl_symm,0.061634349030470915,inversion-driven (symmetric)
LB_first,0.0,min size first element aligned
LB_last,0.6,min size last element aligned
LB_levels,0.21578947368421053,inversions-driven LB
LB_lvl_symm,0.21578947368421053,inversion-driven (symmetric)
LB_first,0.01141552511415525,min size first element aligned
LB_last,0.15753424657534246,min size last element aligned
LB_levels,0.2054794520547945,inversions-driven LB
LB_lvl_symm,0.2054794520547945,inversion-driven (symmetric)
LB_first,0.0004943153732081067,min size first element aligned
LB_last,0.39001482946119626,min size last element aligned
LB_levels,0.05239742956005932,inversions-driven LB
LB_lvl_symm,0.05239742956005932,inversion-driven (symmetric)
LB_first,0.0006958942240779402,min size first element aligned
LB_last,0.21085594989561587,min size last element aligned
LB_levels,0.06680584551148225,inversions-driven LB
LB_lvl_symm,0.06680584551148225,inversion-driven (symmetric)
LB_first,0.0,min size first element aligned
LB_last,0.0,min size last element aligned
LB_levels,0.16332378223495703,inversions-driven LB
LB_lvl_symm,0.16332378223495703,inversion-driven (symmetric)
LB_first,0.017699115044247787,min size first element aligned
LB_last,0.15752212389380532,min size last element aligned
LB_levels,0.168141592920354,inversions-driven LB
LB_lvl_symm,0.168141592920354,inversion-driven (symmetric)
LB_first,0.00039888312724371757,min size first element aligned
LB_last,0.2975668129238133,min size last element aligned
LB_levels,0.04427602712405265,inversions-driven LB
